iter	Passed	Remaining
0	1	111
1	2	102
2	3	97
3	3	89
4	4	88
5	5	87
6	7	93
7	8	94
8	9	92
9	10	91
10	11	89
11	12	88
12	12	86
13	13	85
14	14	84
15	15	82
16	16	81
17	17	80
18	18	79
19	19	77
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	70
27	27	69
28	28	68
29	29	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	61
37	36	60
38	37	59
39	38	57
40	39	56
41	39	55
42	40	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	62	31
66	63	31
67	64	30
68	65	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
